index,project,unitname,ikkanbangou,kakoukeiretu,tapeNo,length,width,thickness,cut,2ndprocess,machineset,carryout,transmission,transshipment,jyouban,komono,komono + jyoban,deadline,
65,22N1764,DC11,,3P3,1910,10537,2791,25,55,32,10,5,5,5,176,11,187,2024/12/7/23:00,
66,22N1764,DC11,,3P3,1912,7258,1736,25,40,71,10,5,5,5,256,0,256,2024/12/7/23:00,
67,22N1764,DC11,,3P3,1913,10320,1384,20,45,74,10,5,5,5,179,50,229,2024/12/7/23:00,
68,22N1764,DC11,,3P3,1916,4206,1649,16,16,41,10,5,5,5,0,0,0,2024/12/7/23:00,
69,22N1764,DC11,,3P3,1915,6396,1353,16,17,26,10,5,5,5,0,1,1,2024/12/7/23:00,
70,22N1764,DC11,,3P3,1902,5693,1122,16,20,33,10,5,5,5,0,0,0,2024/12/7/23:00,
71,22N1764,DC11,,3P3,1918,4575,1382,14,21,35,10,5,5,5,72,24,96,2024/12/7/23:00,
72,22N1764,DC11,,3P3,1920,14204,3170,12,66,144,10,5,5,5,0,31,31,2024/12/7/23:00,
73,22N1764,DC11,,3P3,1921,10694,2289,12,45,65,10,5,5,5,0,0,0,2024/12/7/23:00,
74,22N1764,DC11,,3P3,1919,7254,1623,12,27,62,10,5,5,5,0,28,28,2024/12/7/23:00,
75,22N1764,DC11,,3P3,1922,4691,1000,11,12,34,10,5,5,5,20,29,49,2024/12/7/23:00,
76,22N1764,DC11,,3P3,1923,4221,1284,10,25,63,10,5,5,5,0,46,46,2024/12/7/23:00,
77,22N1764,DC11,,3P3,1914,4344,1861,20,39,43,10,5,5,5,0,58,58,2024/12/7/23:00,
78,22N1764,DC11,,3P3,7985,4000,1000,10,3,8,10,5,5,5,0,0,0,2024/12/7/23:00,
79,22N1764,DC11,,3P3,5929,7530,1980,14,7,17,10,5,5,5,0,15,15,2024/12/7/23:00,
80,22N1764,YB3F,,3P3,4354P,9425,1960,24,44,48,10,5,5,5,34,21,55,2024/12/8/23:00,
